ElementCount,PageCount,PagesWithIframes,AvgTotalInputs
0,1183,93,21.2
1,2,2,256.0
2,61,61,288.7
6,1,1,272.0
7,1,1,273.0
8,1,1,276.0
9,1,1,274.0
10,2,2,275.5
11,1,1,274.0
13,3,0,178.7
14,1,1,283.0
15,2,0,180.0
16,1,1,283.0
17,2,2,286.0
19,1,0,188.0
21,3,1,228.3
23,2,1,253.5
25,10,10,303.3
26,1,0,286.0
27,2,2,306.5
28,1,1,298.0
29,1,1,303.0
31,3,2,281.7
32,1,1,318.0
33,1,1,327.0
38,1,1,324.0
43,1,1,315.0
45,2,0,240.0
61,1,1,344.0
75,3,0,300.0
98,1,1,413.0
108,1,1,403.0
139,1,1,442.0
162,1,1,606.0
