PageName,ElementCount,PopupOpened,WindowCount,HasIframes,IframeCount,ProcessingTime_ms,PageURL,PageTitle,ErrorOccurred,ErrorMessage,Timestamp,InputCount,SelectCount,TextareaCount,TotalInputElements,VisibleInputs,HiddenInputs
Input Prospect (Person),0,Yes,2,Yes,2,6423,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,PERSON.ENTITY,No,,2026-02-02 22:30:22,300,3,0,303,32,268
Input Prospect (Person),0,Yes,2,Yes,2,6106,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,PERSON.ENTITY,No,,2026-02-02 22:30:34,300,3,0,303,32,268
Input Prospect (Person),0,Yes,2,Yes,2,6437,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,PERSON.ENTITY,No,,2026-02-02 22:30:45,300,3,0,303,32,268
Authorise / Delete Person records,0,Yes,2,Yes,1,8524,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Person - Model Bank,No,,2026-02-02 22:31:23,221,0,0,221,0,221
Input Prospect (Entity),0,Yes,2,Yes,2,6322,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,PERSON.ENTITY,No,,2026-02-02 22:31:50,296,2,0,298,30,266
Authorise / Delete Entity records,0,Yes,2,Yes,1,9099,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Entity - Model Bank,No,,2026-02-02 22:32:27,221,0,0,221,0,221
Input Customer Relation Group records,0,Yes,2,Yes,2,5045,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,CUSTOMER.REL.GROUP,No,,2026-02-02 22:32:53,257,1,0,258,2,255
Authorise / Delete Customer Relation Group,0,Yes,2,Yes,1,8371,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauth Customer Relation Group ids - Model Bank,No,,2026-02-02 22:33:17,221,0,0,221,0,221
Input/Amend Customer Group,0,Yes,2,Yes,1,9639,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Customer Group-Input / Amend - Model Bank,No,,2026-02-02 22:33:33,221,0,0,221,0,221
Input/Amend Customer Group,0,Yes,2,Yes,1,9420,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Customer Group-Input / Amend - Model Bank,No,,2026-02-02 22:33:50,221,0,0,221,0,221
Authorise Customer Group,0,Yes,2,Yes,1,8363,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Customer Group-Authorise - Model Bank,No,,2026-02-02 22:34:07,221,0,0,221,0,221
View Customer Group Change,0,Yes,2,Yes,1,8689,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,View Customer Group Change - Model Bank,No,,2026-02-02 22:34:23,221,0,0,221,0,221
View Customer Group Change,0,Yes,2,Yes,1,8808,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,View Customer Group Change - Model Bank,No,,2026-02-02 22:34:39,221,0,0,221,0,221
Amend Customer Group Change,0,Yes,2,Yes,1,9671,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Customer Group-Input / Amend - Model Bank,No,,2026-02-02 22:34:55,221,0,0,221,0,221
Authorise Customer Group Change,0,Yes,2,Yes,1,8595,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Customer Group-Authorise - Model Bank,No,,2026-02-02 22:35:13,221,0,0,221,0,221
Input Customer Relationship records,0,Yes,2,Yes,2,5010,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,CUSTOMER.REL.GROUP,No,,2026-02-02 22:35:38,257,1,0,258,2,255
Authorise / Delete Customer Relationship recs,0,Yes,2,Yes,1,8844,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauth Customer Relation Group ids - Model Bank,No,,2026-02-02 22:36:03,221,0,0,221,0,221
Person Entity,0,Yes,2,Yes,1,9102,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Person - Model Bank,No,,2026-02-02 22:36:19,221,0,0,221,0,221
Person Entity,0,Yes,2,Yes,1,8712,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Unauthorised Person - Model Bank,No,,2026-02-02 22:36:35,221,0,0,221,0,221
Input Party Relationship,0,Yes,2,Yes,2,5181,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Party Relationship,No,,2026-02-02 22:37:46,257,1,0,258,2,255
Individual Customer,0,Yes,2,Yes,2,9365,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,CUSTOMER,No,,2026-02-02 22:38:27,419,18,5,442,24,395
Capture Prospect Exit Status,0,Yes,2,No,0,12694,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,List Of Exit Prospect - Model Bank,No,,2026-02-02 22:39:15,0,0,0,0,0,0
Activate Customer,0,Yes,2,No,0,12577,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Activate Customer - Model Bank,No,,2026-02-02 22:39:35,0,0,0,0,0,0
Capture Customer Exit Status,0,Yes,2,No,0,12461,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Active Customer Exit List - Model Bank,No,,2026-02-02 22:40:10,0,0,0,0,0,0
Deceased Customer,0,Yes,2,No,0,12233,http://10.0.251.41:18080/BrowserWeb/servlet/BrowserServlet,Deceased Customer. - Model Bank,No,,2026-02-02 22:40:30,0,0,0,0,0,0
